Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Tags
1	Spectrogram 1	1	12958.848270581	12988.714173580	25.900	26.300	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
2	Spectrogram 1	1	83511.994521381	83539.610867775	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
3	Spectrogram 1	1	16164.387613274	16185.064007658	26.200	26.700	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
4	Spectrogram 1	1	9255.269213688	9282.837739533	26.200	26.700	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
5	Spectrogram 1	1	13864.014869177	13896.178149330	26.000	26.400	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
6	Spectrogram 1	1	11482.580009067	11512.445912066	26.200	26.600	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
7	Spectrogram 1	1	7401.248238673	7421.924633057	26.000	26.400	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
8	Spectrogram 1	1	3105.974423790	3140.088734042	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
9	Spectrogram 1	1	362.261485060	383.379867597	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
10	Spectrogram 1	1	20796.612634848	20821.883783540	26.200	26.600	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
11	Spectrogram 1	1	477.600343532	534.457527285	26.000	26.400	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
12	Spectrogram 1	1	3010.129456890	3036.121312321	26.000	26.400	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
13	Spectrogram 1	1	3276.545975051	3304.162321446	26.100	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
14	Spectrogram 1	1	4193.576196099	4222.817033458	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
15	Spectrogram 1	1	3523.468601639	3542.962493211	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
16	Spectrogram 1	1	6702.488793285	6741.544204899	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
17	Spectrogram 1	1	10539.011914486	10564.283063178	26.200	26.700	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
18	Spectrogram 1	1	16564.131238034	16600.889272495	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
19	Spectrogram 1	1	10959.486605832	10987.102952227	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
20	Spectrogram 1	1	13785.904045948	13811.175194639	26.000	26.400	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
21	Spectrogram 1	1	4747.162311286	4774.778657680	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
22	Spectrogram 1	1	700.155605653	714.776024333	26.100	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
23	Spectrogram 1	1	6054.287013401	6095.639802170	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
24	Spectrogram 1	1	7265.702986599	7290.974135290	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
25	Spectrogram 1	1	565.322855609	631.926985149	26.000	26.400	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
26	Spectrogram 1	1	2542.373492001	2573.238820324	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
27	Spectrogram 1	1	16782.382067645	16816.842724952	26.200	26.700	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
28	Spectrogram 1	1	7465.574798979	7497.738079132	26.100	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
29	Spectrogram 1	1	1001.027312848	1020.521204421	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
30	Spectrogram 1	1	6532.095180924	6561.336018283	25.800	26.300	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
31	Spectrogram 1	1	15656.667262285	15686.533165284	26.200	26.700	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
32	Spectrogram 1	1	2681.982282083	2709.598628478	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
33	Spectrogram 1	1	11214.531687242	11247.021506529	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
34	Spectrogram 1	1	18280.970185067	18320.025596682	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
35	Spectrogram 1	1	6911.906904914	6939.475430759	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
36	Spectrogram 1	1	7127.860357371	7157.726260370	26.000	26.400	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
37	Spectrogram 1	1	11844.620350989	11865.296745373	26.200	26.700	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
38	Spectrogram 1	1	15144.352156988	15183.407568602	26.000	26.500	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW
