Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Species	Confidence
1	Spectrogram 1	1	33201.034510823	33221.034510823	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.9
2	Spectrogram 1	1	33120.905030303	33140.905030303	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.9
3	Spectrogram 1	1	33270.514588745	33290.514588745	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.8
4	Spectrogram 1	1	33999.471577922	34019.471577922	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.7
5	Spectrogram 1	1	34069.211450216	34089.211450216	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.91
6	Spectrogram 1	1	34133.886415584	34153.886415584	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.65
7	Spectrogram 1	1	33542.850738095	33562.850738095	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.76
8	Spectrogram 1	1	33477.396556277	33497.396556277	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.87
9	Spectrogram 1	1	34200.518422078	34220.518422078	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.67
10	Spectrogram 1	1	34269.089469697	34289.089469697	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.34
11	Spectrogram 1	1	34337.660517316	34357.660517316	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.69
12	Spectrogram 1	1	34406.621173160	34426.621173160	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.34
13	Spectrogram 1	1	34472.854571429	34492.854571429	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.76
14	Spectrogram 1	1	34966.098584416	34986.098584416	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.98
15	Spectrogram 1	1	34895.579495671	34915.579495671	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	1
16	Spectrogram 1	1	35036.617673160	35056.617673160	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.56
17	Spectrogram 1	1	35842.336482684	35862.336482684	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.78
18	Spectrogram 1	1	35711.428119048	35731.428119048	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.55
19	Spectrogram 1	1	37159.991500000	37179.991500000	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.23
20	Spectrogram 1	1	36187.139761905	36207.139761905	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.98
21	Spectrogram 1	1	36119.347930736	36139.347930736	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.99
22	Spectrogram 1	1	36889.603391775	36909.603391775	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.82
23	Spectrogram 1	1	39253.374493506	39273.374493506	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.65
24	Spectrogram 1	1	39867.397056277	39887.397056277	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.78
25	Spectrogram 1	1	40200.901696970	40220.901696970	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.74
26	Spectrogram 1	1	40477.133928571	40497.133928571	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.32
27	Spectrogram 1	1	40016.617006494	40036.617006494	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.89
28	Spectrogram 1	1	41973.238512987	41993.238512987	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.67
29	Spectrogram 1	1	40742.855738095	40762.855738095	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.76
30	Spectrogram 1	1	40670.388608225	40690.388608225	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.85
31	Spectrogram 1	1	40811.816393939	40831.816393939	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.76
32	Spectrogram 1	1	41322.982385281	41342.982385281	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.88
33	Spectrogram 1	1	41384.930093074	41404.930093074	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.34
34	Spectrogram 1	1	41021.425619048	41041.425619048	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.65
35	Spectrogram 1	1	40952.854571429	40972.854571429	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.78
36	Spectrogram 1	1	40881.556266234	40901.556266234	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.99
37	Spectrogram 1	1	41490.513922078	41510.513922078	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.10
38	Spectrogram 1	1	41416.098751082	41436.098751082	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.99
39	Spectrogram 1	1	42182.068521645	42202.068521645	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.98
40	Spectrogram 1	1	42252.198002165	42272.198002165	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.45
41	Spectrogram 1	1	41838.434067100	41858.434067100	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.67
42	Spectrogram 1	1	41767.914978355	41787.914978355	0.000	50.000	RR48_2013_D151.wav	/Users/leabo/Documents/02.2 PROGPython/Student_training/ModelPerformanceEvaluation/RR48_2013_D151.wav	ABW	0.78
