Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Delta Time (s)	Inband Power (dB FS)	Species	Type	Certainty
1	Spectrogram 1	3	25206.007500000	25206.204005000	87.097	138.710	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_200000Zm0800.wav	6.0075	0.1965	-63.08	bowhead	non_song	M
2	Spectrogram 1	3	25232.367500000	25233.434244000	29.032	180.645	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_200000Zm0800.wav	32.3675	1.0667	-67.78	bowhead	non_song	L
3	Spectrogram 1	3	25233.630500000	25234.135800000	129.032	161.290	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_200000Zm0800.wav	33.6305	0.5053	-70.74	bowhead	non_song	M
4	Spectrogram 1	3	25328.021000000	25332.680987000	320.261	549.020	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_200000Zm0800.wav	128.0210	4.6600	-65.05	bowhead	non_song	L
5	Spectrogram 1	3	25354.759306549	25356.965176647	186.275	361.290	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_200000Zm0800.wav	154.7595	2.2059	-62.94	bowhead	non_song	L
6	Spectrogram 1	3	25377.580000000	25377.944939000	70.968	106.452	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_200000Zm0800.wav	177.5800	0.3649	-70.06	bowhead	non_song	M
7	Spectrogram 1	3	28803.003500000	28803.536872000	51.613	103.226	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_210000Zm0800.wav	3.0035	0.5334	-68.14	bowhead	non_song	M
8	Spectrogram 1	3	28825.377500000	28826.191594000	151.613	187.097	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_210000Zm0800.wav	25.3775	0.8141	-75.24	bowhead	non_song	H
9	Spectrogram 1	3	28857.526448799	28858.215783204	216.129	254.839	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_210000Zm0800.wav	57.5265	0.6893	-75.93	bowhead	non_song	M
10	Spectrogram 1	3	28858.390000000	28859.035661000	209.677	241.935	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_210000Zm0800.wav	58.3900	0.6457	-74.10	bowhead	non_song	M
11	Spectrogram 1	3	28862.348500000	28862.994161000	225.490	281.046	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_210000Zm0800.wav	62.3485	0.6457	-68.01	bowhead	non_song	H
12	Spectrogram 1	3	28941.018500000	28942.702833000	130.719	241.830	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_210000Zm0800.wav	141.0185	1.6843	-73.91	bowhead	non_song	L
13	Spectrogram 1	3	28984.121000000	28985.159672000	216.129	290.323	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_210000Zm0800.wav	184.1210	1.0387	-71.58	bowhead	non_song	L
14	Spectrogram 1	3	28988.865000000	28989.258011000	254.839	309.677	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_210000Zm0800.wav	188.8650	0.3930	-69.02	bowhead	non_song	L
15	Spectrogram 1	3	29038.553000000	29039.310950000	19.608	81.699	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_210000Zm0800.wav	238.5530	0.7579	-67.36	bowhead	non_song	M
16	Spectrogram 1	3	29038.777500000	29039.479305000	232.026	271.242	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_210000Zm0800.wav	238.7775	0.7018	-69.67	bowhead	non_song	H
17	Spectrogram 1	3	29067.591500000	29068.237161000	129.032	193.548	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_210000Zm0800.wav	267.5915	0.6457	-69.30	bowhead	non_song	M
18	Spectrogram 1	3	29078.287000000	29079.016877000	61.290	100.000	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100406/59710NSB02_002K_M05_multi_20100406_210000Zm0800.wav	278.2870	0.7299	-71.06	bowhead	non_song	M
